trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.8414709848078965}",25,0,-43.388514502028976,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.001, 'e': 0.8409305323381016}",25,7,-143.35084864661084,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 2}",1
3,False,"{'a': 0.001, 'e': 0.8403897812195238}",35,0,-261.08826923601714,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 6}",0
4,False,"{'a': 0.001, 'e': 0.8398487339649714}",20,1,-31.454800166650827,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.001, 'e': 0.8393073930795355}",25,0,-143.3032616298456,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.8387657610606069}",20,0,-134.9082857637741,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.838223840397892}",20,0,-61.13357186392789,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.8376816335734305}",20,0,-146.14624923103145,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.001, 'e': 0.837139143061611}",20,0,-36.28207034047937,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.8365963713291878}",20,7,-52.901803772403476,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.001, 'e': 0.8360533208352979}",20,12,-10.38835996894565,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.001, 'e': 0.835509994031477}",25,0,-129.85204270338573,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.8349663933616758}",25,0,-90.15604756296534,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.8344225212622775}",20,16,7.586935405674814,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.001, 'e': 0.833878380162113}",25,0,-104.26605846428524,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.8333339724824786}",20,0,-23.735145988707277,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.001, 'e': 0.8327893006371518}",25,0,-102.74768918571044,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
