trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-106.38863799500407,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.9000239571705,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-215.50784075292935,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.84979359093619,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.85005820404241,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.59271797891016,"{0: 17, 1: 7, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.3116685685135,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.47573485209952,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.98614650299041,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.99440073966385,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.2812072643044,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.44327219163304,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.35403803159988,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,15,-17.37548625599632,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.85779179011212,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
